,cmte_id,cmte_nm,cmte_tp,cmte_dsgn,cmte_filing_freq,ttl_receipts,trans_from_aff,indv_contrib,other_pol_cmte_contrib,cand_contrib,cand_loans,ttl_loans_received,ttl_disb,tranf_to_aff,indv_refunds,other_pol_cmte_refunds,cand_loan_repay,loan_repay,coh_bop,coh_cop,debts_owed_by,nonfed_trans_received,contrib_to_other_cmte,ind_exp,pty_coord_exp,nonfed_share_exp,cvg_end_dt,file_year
10,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,O,U,Q,263304.5,0.0,264365.0,-1500.0,0.0,0.0,0.0,253642.57,0.0,0.0,-2500.0,0.0,0.0,130278.63,139940.56,48929.31,0.0,40750.0,11719.59,0.0,0.0,12/31/2022,2022
11,C00715904,"VOTE PLANNED PARENTHOOD NORTHERN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD NORTHERN CALIFORNIA ACTION FUND",O,U,Q,31083.89,0.0,9268.95,0.0,0.0,0.0,0.0,37638.06,0.0,0.0,21000.0,0.0,0.0,42330.13,35775.96,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2022,2022
12,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",O,U,Q,227405.0,0.0,227405.0,0.0,0.0,0.0,0.0,206907.71,0.0,0.0,0.0,0.0,0.0,141362.45,161859.74,82158.06,0.0,0.0,123921.93,0.0,0.0,11/28/2022,2022
13,C00760967,PLANNED PARENTHOOD ADVOCATES OF GREATER WASHINGTON AND NORTH IDAHO PAC,O,U,A,,,,,,,,,,,,,,,,,,,,,,,2022
14,C00795070,PLANNED PARENTHOOD ILLINOIS VOTES,N,U,Q,5105.0,0.0,5.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,6575.0,0.0,0.0,0.0,0.0,0.0,11/28/2022,2022
15,C70004148,PLANNED PARENTHOOD ACTION FUND INC,C,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67856.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/19/2022,2022
16,C90004946,PLANNED PARENTHOOD PENNSYLVANIA ADVOCATES,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
17,C90005471,PLANNED PARENTHOOD ACTION FUND INC,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
18,C90006149,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
19,C90006701,THE PLANNED PARENTHOOD ACTION FUND OF,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
20,C90007543,PLANNED PARENTHOOD OF MN ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
21,C90008236,PLANNED PARENTHOOD HUDSON PECANIC ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
22,C90008293,PLANNED PARENTHOOD OF NASSAU COUNTY ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
23,C90008673,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN INC,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
24,C90009390,PLANNED PARENTHOOD OF NEW YORK CITY ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
25,C90010729,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
26,C90011412,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
27,C90014119,PLANNED PARENTHOOD VOTES NORTHWEST,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
28,C90014242,PLANNED PARENTHOOD SHASTA PACIFIC ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
29,C90014465,PLANNED PARENTHOOD OF THE ROCHESTER/SYRACUSE REGION ACTION FUND INC.,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
30,C90016510,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND,I,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/09/2022,2022
31,C90016767,PLANNED PARENTHOOD ACTION PAC NORTH CAROLINA,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
32,C90017054,PLANNED PARENTHOOD CENTRAL COAST ACTION FUND,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
33,C90017831,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATE INC.,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
34,C90021874,"PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND, PLANNED PARENTHOOD ADVOCATES",I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
